// overflow areas start at 449000, with 100 lines for each scenario starting at 
// 449000 + (scenarioNo - 1) * 100

//
// Scenario One
//

445082 "          OR"


//
//Scenario Eight
//

445200 "<ORANGE>Datis: Put the cities of Euboea to the torch, one by one. Let the Athenians see what awaits them."
445201 "<AQUA>Miltiades: We need every man we can muster, Themistocles — and few can match your powers of persuasion. Gather as many as you can and meet us at the plain of Marathon. Watchword is Zeus Soter."
445202 "<BLUE>Themistocles: No doubt Aristides is already down at Marathon, reciting Homer... Come, men — we haven't much time."
445203 "<GREY>Priestess: Ah, Themistocles — the cleverest man in all Athens, I'm told. Yet even wily Odysseus needed divine aid now and then. Bring me goats, and I shall dedicate their sacrifice to the god of your choice."
445204 "<GREY>Priestess: Tell me, Themistocles: to which god shall I offer these goats?"
445205 "<GREY>Priestess: Your infantry will be inspired to hear of your devotion to warlike Ares."
445206 "<GREY>Priestess: Your cavalry will be inspired to hear of your devotion to Poseidon, giver of horses."
445207 "<GREY>Priestess: Your archers will be inspired to hear of your devotion to Artemis, bearer of the golden bow."
445208 "<PURPLE>Oropian Demarch: Our soldiers will not leave their women and children alone while the great wolf Ornucles stalks our city. Slay the beast, and our spears will be yours."
445209 "<BLUE>Themistocles: I'm starting to feel like Heracles, performing all these labors — and this beast had jaws to match the Nemean Lion, that's for sure. Let's take the pelt back to Oropos."
445210 "<PURPLE>Oropian Demarch: He returns! Like brave Heracles he returns, draped in the pelt of the beast! These picked men will join you, while the rest of our forces march to Marathon."
445211 "<PURPLE>Pallenian Demarch: General Themistocles! We are eager to join the fray, but our town is menaced by bandits. We dare not leave it unguarded!"
445212 "<PURPLE>Pallenian Demarch: Our thanks, Themistocles. We march to Marathon — but take these few guards, in case you encounter any more malefactors…"
445213 "<YELLOW>Odomantian Mercenary: Men of Rhamnous! Pay us what we're owed, or we'll starve you out!"
445214 "<PURPLE>Melanthios: Eis korakas, you dog-faced reprobates! General Themistocles will save us!"
445215 "<BLUE>Themistocles: Everybody calm down — I'm sure we can resolve this peacefully…"
445216 "<YELLOW>Odomantian Mercenary: Either you compensate us, or Themistocles does, or we'll smash both of your heads in."
445217 "<YELLOW>Odomantian Mercenary: That'll do. Let's get out of here, men… The Persians are going to massacre these half-wits."
445218 "<PURPLE>Melanthios: Ah, you've dealt with those lice-infested scoundrels. Now, get me to Athens! Oh, and thank you."
445219 "<BLUE>Themistocles: Think nothing of it. The next time you hire mercenaries, I'd advise you to pay them."
445220 "<PURPLE>Melanthios: You know, Themistocles, everyone says you're cunning enough to cheat Hermes at dice — but you're a damn good fighter too. See you at Marathon!"
445221 "<BLUE>Themistocles: Oimoi, Melanthios is dead. I suppose we can't rely on his support."
445222 "<PURPLE>Sphettus Noblewoman: Ah, Themistocles. Would that we could help you… But the men have been spooked by the recent theft of our town's holiest relic: the shield of Menestheus. Recover the shield, and they may recover their fortitude…"
445223 "<BLUE>Themistocles: There, men — I see the stolen relic!"
445224 "<BLUE>Themistocles: Let's get this back to Sphettus and put the courage of Menestheus back into their men."
445225 "<PURPLE>Sphettus Noblewoman: Euai, euai! The shield is returned! What are you waiting for, men? Get to Marathon!"
445226 "<BLUE>Themistocles: I won't tell them that the Acharnians also claim to have the shield of Menestheus — and the Plataeans, and the Eleusinians…"
445227 "<AQUA>Miltiades: Our finest runner, Pheidippides, prepares to fetch aid from other cities. Themistocles, we need you to escort him part of the way."
445228 "<BLUE>Themistocles: We'll clear the way for you, Pheidippides. I hope you've stretched out those calves."
445229 "<BLUE>Themistocles: Hermes guide you on your way, Pheidippides. "
445230 "<BLUE>Themistocles: Aiboi, Pheidippides has fallen."
445231 "<GREEN>Mercenary Captain: Slide over those shiny owls, and my men will happily fight for you."
445232 "<GREEN>Mercenary Leader: Look at the shine on them Attic drachmas… Loveliest sight in the world."
445233 "<BLUE>Themistocles: How have you men got yourselves so lost? I hope your fighting skills are greater than your sense of direction."
445234 "<BLUE>Themistocles: Survivors from Carystos! Join me, men, and I'll give you the chance for vengeance."
445235 "<AQUA>Miltiades: There are Medizers in our midst, Themistocles: men who would rather betray us to the Persians than stand and fight. Keep a watch along the coast for anyone sending signals."
445236 "<BLUE>Themistocles: There! Kill the Medizers!"
445237 "<AQUA>Miltiades: Death to all who would betray Athens."
445238 "<BLUE>Themistocles: We've put a stop to this treachery — but perhaps, with a few false signals of our own, we could sow some confusion for the Persians."
445239 "<BLUE>Themistocles: We have all we need to construct beacons of our own. To the coast!"
445240 "<AQUA>Aristides: How typical of Themistocles — rather than preparing to face the Persians in glorious combat, he spends his time on ruses and deceit."
445241 "<AQUA>Attic Villager: Help! Help! Up ahead — they're holding our villagers hostage! "
445242 "<AQUA>Attic Villager: Thank you, sir, thank you! Here, take these weapons from the village storehouse."
445243 "<AQUA>Attic Villager: Help us, Themistocles! They've captured my family!"
445244 "<AQUA>Attic Villager: Thank you, Themistocles. Our family have been smiths for generations — let us give you these fine greaves as recompense."
445245 "<AQUA>Miltiades: Amarynthos has fallen! By Zeus, the Persians are making short work of Euboea."
445246 "<AQUA>Miltiades: The Persians have seized Styra, its stores of purple dye now mingled with blood. They are almost done with Euboea!"
445247 "<AQUA>Miltiades: O Zeus, steadfast Eretria has fallen. The Persians will soon be upon us."
445248 "<BLUE>Themistocles: I hear the signal. To Marathon!"
445249 "<ORANGE>Datis: Sharpen your swords, men, for you are the Great King’s vengeance made flesh. And so you will be swift, you will be fierce, and you will be merciless. "
445250 "<AQUA>Aristides: Well met, Themistocles. I expect you to set aside our differences: backstabbing in the assembly is politics; here, it is treason."
445251 "<AQUA>Miltiades: Form ranks, men! Form ranks, and hearken to me!"
445252 "<AQUA>Miltiades: Athenians! Your foes today are far from home, dragged here to serve a king they have never seen. But you, men — you fight in the very shadow of the city that nurtured you, that shelters your wives and children! Now, for Athens: charge!"
445253 "<ORANGE>Datis: Archers, loose!"
445254 "<AQUA>Aristides: This land will never submit to your despotism, Persian dogs!"
445255 "<ORANGE>Datis: The day is lost! Back to the ships!"
445256 "<ORANGE>Datis: O Mithra… Don't let me die in this rocky wasteland, so far from the white horses of Nisaea…"
445257 "<AQUA>Miltiades: Athena, witness our victory! May the Great King's halls be filled with wailing widows — never again will he trouble our shores! "
445258 "<BLUE>Themistocles: I fear it will take more than one battle to deter the Persian king…"
445259 "8. The Battle of Marathon"
445260 "Attica, 490 BCE"
445261 "As the Persians bear down on Attica, the wily Athenian general Themistocles scrambles to gather as many men as he can."
445262 "Miltiades"
445263 "Themistocles"
445264 "Mercenary Captain"
445265 "Aristides"
445266 "Ornucles"
445267 "Marathon"
445268 "Oracle"
445269 "Oropos"
445270 "Pallene"
445271 "Rhamnous"
445272 "Athens"
445273 "Shield of Menestheus"
445274 "Sphettus"
445275 "Pheidippides"
445276 "Amarynthos"
445277 "Styra"
445278 "Euboea"
445279 "Eretria"
445280 "Greek Cities"
445281 "Eleusis"
445282 "Toxotes"
445283 "Ekdromos"
445284 "Noble Cavalry"
445285 "Mercenary Camp"
445286 "Odomantian Mercenary Tent"
445287 "Bandit Camp"
445288 "+ Themistocles must survive."
445289 "+ Defeat the Persians!"
445290 "+ Complete side objectives to gain troops and bonuses for the Battle of Marathon."
445291 "+ Miltiades must survive."
445292 "- Bring <Goats>/10 goats to the Oracle."
445293 "- Find and slay the great wolf Ornucles."
445294 "- Return Themistocles to Oropos to gain their support."
445295 "- Destroy <Tents>/4 Odomantian Mercenary Tents for Rhamnous."
445296 "- Escort Melanthios to Athens.\nBring Themistocles to Melanthios to begin."
445297 "- Destroy <Tents>/4 Bandit Camps for Pallene."
445298 "- Find and return the Shield of Menestheus to Sphettus."
445299 "- Return the Shield of Menestheus (Relic Cart) to Sphettus."
445300 "- Bring Themistocles to Pheidippides in Athens."
445301 "- Escort Pheidippides as far as Eleusis.\nSelect Pheidippides to begin."
445302 "- Destroy <Fires>/5 Medizer signals."
445303 "- Find timber to set up deceptive signal fires."
445304 "- Find wood for false signal flags."
445305 "- Defeat the Medizers."
445306 "- Go to the beach north of Oropos to set up false signals."
445307 "- Gather as much support as you can before the battle begins."
445308 "- Rescue Athenians from <Free Athenians>/1 Bandit Camps."
445309 "- Rescue Athenians from <Free Athenians>/2 Bandit Camps."
445310 "- Hire Mercenaries at the Mercenary Camp."
445311 "Move Themistocles in front of the bodyguard you wish to choose."
445312 "- Choose an Aura at the Oracle's Temple."
445313 "- Choose an aura effect for Themistocles at the Oracle's Temple. Choose to have Themistocles strengthen nearby cavalry, infantry, or archers."
445314 "- Destroy <Ram Destroyed>/5 Odomantian Mercenary Rams to end the siege of Rhamnous."
445315 "+ Bring Themistocles and his soldiers to Marathon for the final battle."
445316 "Cavalry/Galley Aura I"
445317 "Select <b>Cavalry/Galley Aura I<b>\nGive Themistocles an aura effect that will boost nearby <b>cavalry<b> units when on land, and <b>Galleys<b> when Themistocles is at sea."
445317_perth "Give Themistocles an aura effect that will boost nearby cavalry when on land, and Galleys when Themistocles is at sea."
445318 "Infantry/Monoreme Aura I"
445319 "Select <b>Infantry/Monoreme Aura I<b>\nGive Themistocles an aura effect that will boost nearby <b>infantry<b> units when on land, and <b>Monoremes<b> when Themistocles is at sea."
445319_perth "Give Themistocles an aura effect that will boost nearby infantry when on land, and Monoremes when Themistocles is at sea."
445320 "Archery/Lembos Aura I"
445321 "Select <b>Archery/Lembos Aura I<b>\nGive Themistocles an aura effect that will boost nearby <b>archer<b> units when on land, and <b>Lemboi<b> when Themistocles is at sea."
445321_perth "Give Themistocles an aura effect that will boost nearby archers when on land, and Lemboi when Themistocles is at sea."
445322 "- Cavalry/Galley aura received. -"
445323 "- Infantry/Monoreme aura received. -"
445324 "- Archer/Lembos aura received. -"
445325 "- You have the Shield of Menestheus. -"
445326 "- Infantry and cavalry attack increased. -"
445327 "- Infantry and cavalry armor increased. -"
445328 "- Your false signals tricked the Persians! -"
445329 "- Gold looted. -"
445330 "- Pheidippides found reinforcements! -"
445331 "+ Escort Melanthios to Athens. Bring Themistocles to Melanthios to start."
445332 "Melanthios"
445333 "Bring Themistocles to Melanthios to begin escort quest."
445334 "Select Pheidippides to begin escort quest."
445335 "+ Move Themistocles in front of the bodyguard you wish to select."
445336 "Unruly Ruffian"
445337 "- Find the Medizers."
445338 "- Gather as much support as you can from throughout Attica before the final battle begins. Each successful quest will boost your forces in the final battle."
445339 "- Return Themistocles to Pallene to gain their support."
445340 "- Bring Themistocles to Melanthios inside Rhamnous."
445341 "- Escort Melanthios to Athens."
445342 "- Escort Pheidippides as far as Eleusis."
445343 "- Find treacherous Medizers along the coast."
445344 "+ Explore Attica. Complete quests to gain troops and bonuses for the upcoming battle."
445345 "+ Meet Miltiades at Marathon."
445346 "- Select an aura for Themistocles at the Oracle's Temple."
445347 "- Recapture the towers along the road."
445348 "- Seek out the Oracle."
445349 "<ORANGE>Battle begins in %d"
445350 "Attic Towns"
445351 "1. Complete as many objectives as you can before the battle commences to give yourself the best chance of winning.\n\n2. If you find mercenaries (Green), you can select the main tent in their camp to recruit units. You only have access to these tents when your units are next to them.\n\n3. Like Artaphernes, Themistocles can gain aura effects. Because Themistocles will fight at sea in later scenarios, his aura effects impact both land and naval units. Find the Oracle to get his first aura effect in this scenario!\n\n 4. Like the aura, the choice of Bodyguard in this scenario will persist in future scenarios. You will be able to recruit your chosen Bodyguard at the Fort in subsequent scenarios.\n\n 5. The Athenians and Spartans have access to the Hoplite, an infantry unit which is sturdier while fighting alongside other Hoplites.\n\n 6. The Athenian Strategos is a unique unit that enhances the strength of nearby soldiers."
445352 "Economic Policy"
445353 "Enact <b>Economic Policy<b> (<cost>)\nVillagers work faster."
445354 "Naval Policy"
445355 "Enact <b>Naval Policy<b> (<cost>)\nArchers and Warships train faster and cost 15% less gold."
445356 "Military Policy"
445357 "Enact <b>Military Policy<b> (<cost>)\nMelee units train faster and gain gold for killing units."
445358 "- Economic Policy enacted -"
445359 "- Naval Policy enacted -"
445360 "- Military Policy enacted -"
445361 "The Athenians can enact different policies at the Town Center. You can switch policies as often as you wish."
445362 "Plataean Hoplite"
445363 "<b>Themistocles<b> \n<hp> <attack> <armor> <piercearmor> \n Aura of Swiftness I: +4 attack to nearby Cavalry and +2 attack to nearby Cavalry Archers"
445364 "<b>Themistocles<b> \n<hp> <attack> <armor> <piercearmor> \n Aura of Boldness I: +4 attack to nearby Infantry"
445365 "<b>Themistocles<b> \n<hp> <attack> <armor> <piercearmor> \n Aura of Vision I: +2 attack to nearby Archers"
445366 "<b>Themistocles<b> \n<hp> <attack> <armor> <piercearmor> \n Aura of Swiftness II: +4 attack and +2 armor to nearby Cavalry; +2 attack and +1 armor to Cavalry Archers"
445367 "<b>Themistocles<b> \n<hp> <attack> <armor> <piercearmor> \n Aura of Boldness II: +4 attack and +2 armor to nearby Infantry"
445368 "<b>Themistocles<b> \n<hp> <attack> <armor> <piercearmor> \n Aura of Vision II: +2 attack and +2 armor to nearby Archers"
445369 "<b>Themistocles<b> \n<hp> <attack> <armor> <piercearmor> \n Aura of Swiftness I: +4 attack to nearby Cavalry and +2 to Cavalry Archers \n Aura of Boldness I: +4 attack to nearby Infantry"
445370 "<b>Themistocles<b> \n<hp> <attack> <armor> <piercearmor> \n Aura of Swiftness I: +4 attack to nearby Cavalry and +2 attack to Cavalry Archers \n Aura of Vision I: +2 to nearby Archers"
445371 "<b>Themistocles<b> \n<hp> <attack> <armor> <piercearmor> \n Aura of Boldness I: +4 attack to nearby Infantry \n Aura of Vision I: +2 to Archers"
445372 "<b>Themistocles<b> \n<hp> <attack> <armor> <piercearmor> \n Aura of Swiftness III: +4 attack, +2 armor, +40 regeneration and increased attack speed to nearby Cavalry and +2 attack, +1 armor, +20 regeneration and slightly increased attack speed to Cavalry Archers"
445373 "<b>Themistocles<b> \n<hp> <attack> <armor> <piercearmor> \n Aura of Boldness III: +4 attack, +2 armor, +40 regeneration and increased attack speed to nearby Infantry"
445374 "<b>Themistocles<b> \n<hp> <attack> <armor> <piercearmor> \n Aura of Vision III: +2 attack, +2 armor, +40 regeneration and increased attack speed to nearby Archers"
445375 "<b>Themistocles<b> \n<hp> <attack> <armor> <piercearmor> \n Aura of Swiftness II: +4 attack and +2 armor to nearby Cavalry, +2 attack and +1 armor to Cavalry Archers \n Aura of Boldness I: +4 attack to nearby Infantry"
445376 "<b>Themistocles<b> \n<hp> <attack> <armor> <piercearmor> \n Aura of Swiftness II: +4 attack and +2 armor to nearby Cavalry, +1 armor to Cavalry Archers \n Aura of Vision I: +2 attack to nearby Archers"
445377 "<b>Themistocles<b> \n<hp> <attack> <armor> <piercearmor> \n Aura of Boldness II: +4 attack and +2 armor to nearby Infantry \n Aura of Swiftness I: +4 attack to nearby Cavalry and +2 attack to Cavalry Archers"
445378 "<b>Themistocles<b> \n<hp> <attack> <armor> <piercearmor> \n Aura of Boldness II: +4 attack and +2 armor to nearby Infantry \n Aura of Vision I: +2 attack to nearby Archers"
445379 "<b>Themistocles<b> \n<hp> <attack> <armor> <piercearmor> \n Aura of Vision II: +2 attack and +2 armor to nearby Archers \n Aura of Swiftness I: +4 attack to nearby Cavalry and +2 attack to Cavalry Archers"
445380 "<b>Themistocles<b> \n<hp> <attack> <armor> <piercearmor> \n Aura of Vision II:  +2 attack and +2 armor to nearby Archers \n Aura of Boldness I: +4 attack to nearby Infantry"
445381 "<b>Themistocles, Warship<b> \n<hp> <attack> <armor> <piercearmor> \n Aura of Boldness I: +4 attack to nearby Ramming Ships"
445382 "<b>Themistocles, Warship<b> \n<hp> <attack> <armor> <piercearmor> \n Aura of Vision I: +4 attack to nearby Scout Ships"
445383 "<b>Themistocles, Warship<b> \n<hp> <attack> <armor> <piercearmor> \n Aura of Swiftness I: +2 attack to nearby Arrow Ships"
445384 "<b>Themistocles, Warship<b> \n<hp> <attack> <armor> <piercearmor> \n Aura of Boldness II: +4 attack and +2 armor to nearby Ramming Ships"
445385 "<b>Themistocles, Warship<b> \n<hp> <attack> <armor> <piercearmor> \n Aura of Vision II +4 attack and +2 armor to nearby Scout Ships"
445386 "<b>Themistocles, Warship<b> \n<hp> <attack> <armor> <piercearmor> \n Aura of Swiftness II: +2 attack and +2 armor to nearby Arrow Ships"
445387 "<b>Themistocles, Warship<b> \n<hp> <attack> <armor> <piercearmor> \n Aura of Boldness I: +4 attack to nearby Ramming Ships \n Aura of Vision I: +4 attack to nearby Scout Ships"
445388 "<b>Themistocles, Warship<b> \n<hp> <attack> <armor> <piercearmor> \n Aura of Boldness I: +4 attack to nearby Ramming Ships \n Aura of Swiftness: +2 attack to nearby Arrow Ships"
445389 "<b>Themistocles, Warship<b> \n<hp> <attack> <armor> <piercearmor> \n Aura of Vision I: +4 attack to nearby Scout Ships \n Aura of Swiftness I: +2 attack to nearby Arrow Ships"
445390 "<b>Themistocles, Warship<b> \n<hp> <attack> <armor> <piercearmor> \n Aura of Boldness III: +4 attack, +2 armor, +40 regeneration and increased attack speed to nearby Ramming Ships"
445391 "<b>Themistocles, Warship<b> \n<hp> <attack> <armor> <piercearmor> \n Aura of Vision III: +4 attack, +2 armor, +40 regeneration and increased attack speed to nearby Scout Ships"
445392 "<b>Themistocles, Warship<b> \n<hp> <attack> <armor> <piercearmor> \n Aura of Swiftness III: +2 attack, +2 armor, +40 regeneration and increased attack speed to nearby Arrow Ships"
445393 "<b>Themistocles, Warship<b> \n<hp> <attack> <armor> <piercearmor> \n Aura of Boldness II: +4 attack and +2 armor to nearby Ramming Ships \n Aura of Vision I: +4 attack to nearby Scout Ships"
445394 "<b>Themistocles, Warship<b> \n<hp> <attack> <armor> <piercearmor> \n Aura of Boldness II: +4 attack and +2 armor to nearby Ramming Ships \n Aura of Swiftness I: +2 attack to nearby Arrow Ships"
445395 "<b>Themistocles, Warship<b> \n<hp> <attack> <armor> <piercearmor> \n Aura of Vision II: +4 attack and +2 armor to nearby Scout Ships \n Aura of Boldness I: +4 attack to nearby Ramming Ships"
445396 "<b>Themistocles, Warship<b> \n<hp> <attack> <armor> <piercearmor> \n Aura of Vision II: +4 attack and +2 armor to nearby Scout Ships \n Aura of Swiftness I: +2 attack to nearby Arrow Ships"
445397 "<b>Themistocles, Warship<b> \n<hp> <attack> <armor> <piercearmor> \n Aura of Swfitness: +2 attack and +2 armor to nearby Arrow Ships \n Aura of Boldness I: +4 attack to nearby Ramming Ships"
445398 "<b>Themistocles, Warship<b> \n<hp> <attack> <armor> <piercearmor> \n Aura of Swiftness: +2 attack and +2 armor to nearby Arrow Ships \n Aura of Vision I: +4 attack to nearby Scout Ships"
445399 "<b>Melanthios<b> \n<hp> <attack> <armor> <piercearmor>"

// overflow eight
449700 "<BLUE>Pheidippides starts running in %d"
449701 "<b>Themistocles<b> \n<hp> <attack> <armor> <piercearmor> \n Aura of Swiftness I: +4 attack to nearby Cavalry \n Aura of Boldness I: +4 attack to nearby Infantry \n Aura of Vision I: +2 attack to nearby Archers"
449702 "<b>Themistocles, Warship<b> \n<hp> <attack> <armor> <piercearmor> \n Aura of Boldness I: +4 attack to nearby Ramming Ships \n Aura of Vision I: +4 attack to nearby Scout Ships \n Aura of Swiftness I: +2 attack to nearby Arrow Ships"
449703 "<b>Pheidippides<b> \n<hp> <attack> <armor> <piercearmor>"
449704 "<b>Unruly Ruffian<b> \n<hp> <attack> <armor> <piercearmor>"
449705 "Beacon"
449706 "<b>Beacon<b> (<cost>)\nSignal pyre to direct the Persian Army.\n<hp> <attack> <armor> <piercearmor> "
449707 "<b>Beacon<b> (<cost>)\nFalse signal pyre to misdirect the Persian Army.\n<hp> <attack> <armor> <piercearmor> "

//
//Scenario Nine
//

445400 "<AQUA>City Crier: By order of the assembly, an ostracism will be held here on the first day of Anthesterion. Women, slaves, and metics are to keep away. Intimidation, bribery, and public defecation are strictly forbidden."
445401 "<AQUA>Aristides: The people will never support you, Themistocles, or your mad desire to waste our silver on ships. They know an unjust man when they see one."
445402 "<BLUE>Themistocles: These fools won't believe that the Persians will return... I must find another foe for them to fear — or simply slander Aristides."
445403 "<BLUE>Themistocles: Demetrios, I hear you've encountered some financial difficulties of late. Here's a proposal: you testify that Aristides is in league with the Persians, and when I'm elected archon, I'll see you're repaid."
445404 "<YELLOW>Demetrios: Deal. You'd better be true to your word, you wily snake."
445405 "<BLUE>Themistocles: Here's the plan: we hoist Aeginetan sails, head to the Piraeus, and fake an attack on our own harbor. The people need to see that Athens is vulnerable."
445406 "<BLUE>Themistocles: That should do it. Athena, forgive me — it is for the good of the city."
445407 "<AQUA>City Crier: Assemble, all good citizens, for the vote is underway!"
445408 "<AQUA>Aristides: Athenians, hear me. Themistocles is a paranoid fantasist, who would squander your money on ships to fight the Persians — whom we have already beaten! He spits on your great victory, in his vain desire to be an admiral!"
445409 "<BLUE>Themistocles: Fellow citizens, look just beyond the Piraeus, and you'll see why we need a fleet: Aegina, a teeming nest of pirates and thieves! And this man Aristides, who calls himself  \"the Just,\" is a known agent of the Persian king!"
445410 "<AQUA>City Crier: Silence! The votes have been tallied. Aristides, son of Lysimachus, you are hereby ostracized. Leave the city, and do not return until ten years have passed, else your life will be forfeit."
445411 "<BLUE>Themistocles: You chose well, Athenians. Now, to build a fleet and cleanse the Saronic Gulf of Aeginetan piracy."
445412 "<BLUE>Themistocles: Aegina is ruled by merchant princes — fearsome sailors all, and none more so than Polycritus, son of Krios. Should we capture him, his fellow plutocrats will lose heart."
445413 "<AQUA>Melanthios: That ostracism went well, eh, Themistocles? By Dionysos, if I had to hear Aristides called 'the Just' one more time… Anyhow, here's a little gift for helping me with those mercenaries."
445414 "<YELLOW>Demetrios: Time for you to pay me back, Themistocles — or else I'll tell everyone about our little deal."
445415 "<BLUE>Themistocles: If I have to stuff your mouth with gold, so be it."
445416 "<YELLOW>Demetrios: Athenians, the archon Themistocles is a liar! He offered me money to slander Aristides — and worst of all, he never even paid me!"
445417 "<BLUE>Themistocles: Grip those oars tight, men — Polycritus and his sharp-beaked trireme hunt in these waters."
445418 "<PURPLE>Polycritus: Starting wars to serve your political ends, Themistocles? Let's hear you spew your slander when I sink you to the bottom of the gulf!"
445419 "<BLUE>Themistocles: Not so cocky now, Polycritus. Fish him out of the water, men — the Aeginetans can have him back when they surrender."
445420 "<PURPLE>Polycritus: Enough! Name your terms, Athenian."
445421 "<BLUE>Themistocles: What destruction the Persians wrought on Tenos. Its hillside cities look as though they might slide into the sea."
445422 "<BLUE>Themistocles: The Persians wrought a terrible slaughter on Andros."
445423 "<BLUE>Themistocles: Keos suffered greatly for resisting the Persians. At least they've repaired the temple to Athena."
445424 "<BLUE>Themistocles: Tenos took one look at the Persian fleet and offered up earth and water. Cowards."
445425 "<BLUE>Themistocles: Keep a close eye on the Andrians — they gave earth and water to the Persian king once, and I wager they'd do it again."
445426 "<BLUE>Themistocles: Craven Keos gave earth and water rather than resist the Persian fleet. "
445427 "<BLUE>Themistocles: I hear it was a Carian warrior queen who wrought this destruction on Kythnos."
445428 "<BLUE>Themistocles: Destroying pirate shipyards will help both to pacify these waters and to train our crews."
445429 "<BLUE>Themistocles: The Aeginetans attack Laurion! I was right, citizens — without ships of our own, we'd be completely at the mercy of these ravening pirates."
445430 "<BLUE>Themistocles: Thundering Zeus! Having taken Laurion, who knows where these reprobates will strike next — especially now they're laden with our silver…"
445431 "<BLUE>Themistocles: Though Attica has blessed us with silver, she's less bountiful in other resources. Perhaps we might find better ship-building materials elsewhere."
445432 "<BLUE>Themistocles: Egyptian linen — this will make fine sails."
445433 "<BLUE>Themistocles: Iberian copper, to strengthen our rams!"
445434 "<BLUE>Themistocles: This Thracian pine will make our ships stronger, lighter."
445435 "<BLUE>Themistocles: Lebanese cedar! Quite the find."
445436 "<BLUE>Themistocles: Our captains will appreciate these fine hemp ropes."
445437 "<BLUE>Themistocles: The fleet is starting to take shape."
445438 "<BLUE>Themistocles: The fleet is almost ready."
445439 "<BLUE>Themistocles: The Phoenicians, craven subjects of the Great King, have had free run of the Aegean for too long. Now that we have the ships, we should strike their rich merchant vessels."
445440 "<BLUE>Themistocles: By Zeus, the wealth on these Phoenician ships… Ploutos himself would be jealous! "
445441 "<BLUE>Themistocles: Loot these fine Phoenicians, boys."
445442 "<BLUE>Themistocles: We rule these waters now, Phoenicians."
445443 "<BLUE>Themistocles: Grab the gold, the sails, and those lovely oars of Thracian fir."
445444 "<BLUE>Themistocles: We should seek a treaty with Corinth — they may not be fond of us, but everything in Corinth has its price…"
445445 "<BLUE>Themistocles: That seems to have satisfied the Corinthians — miserly wretches…"
445446 "<RED>Eretrian Archon: Oimoi… First Datis and his Persians devastate our cities, then pirates come to prey on our defenseless people. If you were to fortify your side of the Euboean Gulf, Athenian, it would surely deter our enemies."
445447 "<RED>Eretrian Archon: The Lelantine fields and pastures feel safer already, with such a stout fortress across the gulf. You can count on our aid, Themistocles."
445448 "<BLUE>Themistocles: We've cleared out the pirates — for now…"
445449 "<BLUE>Themistocles: A glorious day! Be proud of yourselves, Athenians: with this fleet, we can withstand any foe, be they Aeginetan raiders, rapacious pirates… Or the ravening myriads of the Persian king."
445450 "9. Raise the Sails"
445451 "Attica, 483 BCE"
445452 "Themistocles knows that the Persians will one day return for vengeance. Can he persuade his fellow Athenians to spend their wealth on a mighty fleet?"
445453 "City Crier"
445454 "Demetrios"
445455 "Polycritus"
445456 "Aegina"
445457 "Piraeus"
445458 "Laurion"
445459 "Tyrian Dye Cart"
445460 "Cycladic Islands"
445461 "Pirates"
445462 "Phoenician Merchants"
445463 "Corinth"
445464 "Unscrupulous Shipwright"
445465 "Seriphos"
445466 "Phoenician Merchant Ship"
445467 "Polycritus's Flagship"
445468 "+ Slander Aristides: meet with Demetrios in the north."
445469 "+ Fake an Aeginetan raid: meet with the Unscrupulous Shipwright to the south\nOR"
445470 "+ Destroy 3 Athenian Fishing Ships."
445471 "+ Destroy 3 Athenian Fishing Ships to fake an Aeginetan attack on the harbor."
445472 "+ Bring Themistocles back to Athens."
445473 "- Repay Demetrios (tribute <Bribe> gold to Mines of Laurion player)."
445474 "<AQUA>Repay Demetrios within %d"
445475 "- Tribute 800 gold to Corinth to establish a treaty."
445476 "- Build a Fort in the flagged area to gain support from Eretria."
445477 "+ Destroy <AeginaForts>/3 Forts on Aegina."
445478 "+ Defend Laurion."
445479 "+ Sink Polycritus's Flagship."
445480 "- Destroy <ResCount>/5 Pirate Hoards."
445481 "- Destroy Phoenician Merchant Ships."
445482 "+ Reach <MaxNavalPower> Naval Experience.\nCurrent Naval Experience: <NavalPower>."
445483 "To gain Naval Experience:"
445484 "- Choose an Aura at the Temple."
445485 "- Destroy Pirate Shipyards and Ports."
445486 "+ Do not allow Laurion to lose all 3 Mining Camps."
445487 "Strengthened Prows"
445488 "Research <b>Strengthened Prows<b> (<cost>)\nTriremes deal splash damage."
445489 "Prayers to Artemis"
445490 "Research <b>Prayers to Artemis<b> (<cost>)\nGalleys fire multiple projectiles."
445491 "Alchemist's Delight"
445492 "Research <b>Alchemist's Delight<b> (<cost>)\nIncendiary ships explode twice."
445493 "Artillery Spotters"
445494 "Research <b>Artillery Spotters<b> (<cost>)\nLeviathans can dodge some incoming projectiles, and gain an improved aura effect."
445495 "Torsion Experts"
445496 "Research <b>Torsion Experts<b> (<cost>)\nCatapult ships gain extra range."
445497 "Liquid Courage"
445498 "Research <b>Liquid Courage<b> (<cost>)\nLemboi gain a charge attack."
445499 "Iron Harpoons"
445500 "Research <b>Iron Harpoons<b> (<cost>)\nFishing ships gain increased gathering rate."
445501 "Careful Captains"
445502 "Research <b>Careful Captains<b> (<cost>)\nShips receive less bonus damage."
445503 "Sea Shanties"
445504 "Research <b>Sea Shanties<b> (<cost>)\nShips move 10% faster."
445505 "Strengthened Hulls"
445506 "Research <b>Strengthened Hulls<b> (<cost>)\nShips gain +1 melee armor and +1 pierce armor."
445507 "Marines"
