IDS_SCENARIO_GAISERIC "Gaiseric (406)"
396604 "Warrior's Hall (Jorvik)"
396605 "Ragnar's Saga is finally complete. The skalds will sing for eternity of this achievement. Ragnar Lothbrok will be praised in the same breath as Beowulf and Sigurd the Dragon-Slayer!"
396606 "Ragnar's Saga is nearly complete, but the Jomsvikings remain unconquered. Defeat Odin's warriors and Ragnar Lothbrok's saga will be worthy of Beowulf and Sigurd the Dragon-Slayer!"
396607 "Declare Victory at the Warrior's Hall to end the scenario."
396608 "Challenge the Jomsvikings at the Warrior's Hall to start the final portion of the scenario. Research the Challenge the Jomsvikings technology."
396609 "Not even the great cities with their towers and walls could stand against Ragnar Lothbrok. Eoforwic, Lundenburh, Rennes, Aachen, Paris -- the seats of kings were demolished into rubble."
396610 "Many Vikings have perished on the raids. They will feast at Valhöll, at the hall of the heroes!"
396611 "Active Blót Bonus: Norse Warriors cost -10 food"
396612 "Active Blót Bonus: Berserks do +5 damage to buildings"
396613 "Active Blót Bonus: Huskarls have +2 attack"
396614 "Active Blót Bonus: Throwing Axemen have +1 range"
396615 "Active Blót Bonus: Transport Ships have +10 capacity"
396616 "Active Blót Bonus: Ships do not receive damage at sea"
396617 "Nightfall. The warriors fight like packs of wolves each night. (Non-hero melee units receive +2 attack at night)"
396618 "Daybreak. The wolf-like nighttime fury of the warriors has subsided. The night bonus will return the next night."
396619 "World Trees were once revered by the Saxons and Frisians, as they are by the Northmen. But Christian priests came into these lands and chopped them down. "
396620 "Build a Pagan Shrine over the stumps of these large trees to please the gods and receive Runestones."
396621 "A Warrior's Hall has been captured by raiders who have declared their own jarl. Retake the Warrior's Hall to restore your authority."
396622 "Population Limit reduced. Re-capture lost Warrior's Hall to restore Population Limit."
396623 "--Hordaland lost to raiders!--"
396624 "--Vestfold lost to raiders!--"
396625 "--Lade lost to raiders!--"
396626 "--Jutland lost to raiders!--"
396627 "--Ribe lost to raiders!--"
396628 "--Hedeby lost to raiders!--"
396629 "--Roskilde lost to raiders!--"
396630 "--Västergötland lost to raiders!--"
396631 "--Småland lost to raiders!--"
396632 "--Bergslagen lost to raiders!--"
396633 "--Uppland lost to raiders!--"
396634 "Gunnar Hámundarson"
396635 "Gunnar Hámundarson who came to Iceland to be chieftain -- no one could match him in battle, sport, or drink."
396636 "Varangian Expedition"
396637 "Send <b>Varangian Expedition<b> (<cost>)\nSend a trading expedition (Trade Cog) to the East to generate gold with every trip. Price increases with every expedition sent."
396638 "--Trade Cog built in the East--"
396639 "[Sent first Varangian Expedition] A band of adventurous traders set out for the East to make a fortune. Further expeditions will cost more to send but they will bring much gold."
396640 "Price of Varangian Expeditions increased. Price increased with each Expedition sent."
396641 "Can build Warrior's Halls (Wonders) in foreign lands, such as England, to train warriors closer to your enemies."
396642 "Guthrum"
396643 "Guthrum failed in his bid for the Danish throne, but came to England to seize a kingdom of his own."
396644 "Grímr Kamban has met his destiny: the settler who came from Norge, lived among the Westmen of Ireland, and founded his longhouse on the Faroe Islands, at one end of the Viking world."
396645 "Aud the Deep-Minded has met her destiny: she reached Iceland and became a chieftain and matriach. In time, her son, Thorstein the Red, came of age and became a great warrior."
396646 "Hasteinn has met his destiny: he slew the Frankish lord Robert the Strong in battle and plundered the lands of Francia."
396647 "Hrolf the Ganger has met his destiny: he came to Francia a raider and plunderer, but settled among the Franks and learned their ways. His lands would come to be known as Normandy and his warriors the Normans."
396648 "The Sons of Ragnar have met their destinies: Ivar the Boneless, Halfdan Hvitserk, and Ubba have all come to England to raid, plunder, and conquer."
396649 "Thorstein the Red"
396650 "Pechenegs"
396651 "Hold Blót"
396652 "Nightfall"
396653 "Daybreak"
396654 "Warrior's Hall"
396655 "Supplies (gold for food)"
396656 "Build Longhouses in regions marked with a Flare."

// Ragnar (850)

398861 "'We struck with our swords!'"
398862 "With that cry, silence fell over the feasting hall. The warriors squeezed drinking horns and dug their fingers white into the oaken tables. Their attention was on the skald, the bard who had come from far northern lands. Even there, they sang of the deeds of the dead king."
398863 "'We struck with our swords!'"
398864 "The air had a tension, like a thread pulled from both ends. The words echoed off the shields and swords on the walls. They rang off the arm rings melted from golden relics and bejeweled chalices, plunder taken in raids that left trails of bodies and rising smoke before the black raven banner."
398865 "'We struck with our swords!'"
398866 "The skald rose and the warriors stood with him, horns and sword hilts in hand, spears raised and glistening as the flames danced shadows over their faces. The skald spoke of their king, and all knew the story well, for they, too, had sailed on the Great Whale Road and were as wolves engorging themselves on those foreign shores."
398867 "'We struck with our swords!'"
398868 "The warriors beat their swords against oaken shield. It was a louder clamor than could be heard at the walls of Paris. The skald needed not say another word, for his tale could be heard in that uproar. The clattering of strong warriors told the saga better than any mere words sung from a skald's wet lips."
398869 "For all knew the Saga of Ragnar Lothbrok."
398871 "The hall was quiet. The shields and swords on the walls were silent, too, for there were no words hanging on the air for them to repeat and echo. A mouse poked its head from a small crack and sniffed, as if expecting an empty hall it could pillage. Then it retreated. It smelled – but could not hear – men totally still."
398872 "The skald had finished his tale and the warriors sat mute, save for the quiet slide of tears down scarred cheeks. The skald had sung of their king, their dead king... nay, of their brother, for what closer bonds join men than that of battle when war is mother of us all?"
398873 "For the skald had not sung of what had been, but what could have been – not of how their king had fallen, poisoned and strangled in a snake pit, but of how he had conquered and tasted those rare glories reserved for the gods and the few heroes of the old sagas."
398874 "It was a saga worthy of its name."

//
// Ironside (859)
//

396701 "Qurtubah"
396702 "Ifriqiya"
396703 "Kutama"
396704 "Roman Empire"
396705 "Italy"
396706 "Francia"
396707 "Vikings"
396708 "1. You begin with a population limit of 25 but advancing in Ages grants you more population as well as access to improved units.\n\n2. Raids are dangerous, particularly when Bjorn has few men. Keep your raiders close to the shore so they can run to the boats when overwhelmed. It is always better to live to raid another day.\n\n3. All great Viking sagas must have heroes! Finding Hvitserk, Haraldr, and Rollo will greatly strengthen Bjorn's expedition.\n\n4. Each hero enables the training of unique units: Bjorn (Huskarls), Hasteinn (Berserks), Hvitserk (Tarkans), Haraldr (Throwing Axemen), and Rollo (Woad Raiders)."
396709 "Your scouts report:\n\n- Bjorn begins on the southern coast of France. His friend Hasteinn has left to raid a nearby island.\n\n- North of Bjorn is Francia (Cyan), ruled by the heirs of Charlemagne. They fight as infantry, Throwing Axemen, and cavalry.\n\n- Southeast is Italy (Blue), where rich cities founded by the ancient Romans are defended by archers and spearmen.\n\n- The southern portion of Italy is contested by the Roman Empire (Purple) who have great cities further to the east. Their infantry, skirmishers, and Cataphracts are all that remains of the old legions of Rome.\n\n- Further south, and across the sea, are the Moors of Ifriqiya (Orange) clinging to the coastlines and islands of the southern sea. They ride camels into battle and hurl javelins from horseback.\n\n- West of Ifriqiya are the peoples of the southern desert called Kutama (Green). They are fierce warriors who fight on foot with curved blades.\n\n- Finally, to the west is Qurtubah (Yellow), jewel of the Muslim world. The most dangerous warriors of these lands are Light Cavalry and Cavalry Archers."
396710 "Warrior's Hold"
396711 "Great Mosque of Cordoba"
396712 "Al-Zaytuna Mosque"
396713 "Basilica of Santa Maria"
396714 "Basilica of Saint Denis"
396715 "Arab Champion"
396716 "Berber Warlord"
396717 "Warlord"
396718 "Strategos"
396719 "Lombard Duke"
396720 "Frankish Count"
396721 "Rollo"
396722 "Haraldr"
396723 "Hvitserk"
396724 "Bjorn Ironside"
396725 "Princess"
396726 "Winter has ended and the raiding season has begun. The Viking raider Hasteinn has already begun attacking the nearby island of Corsica. Bjorn must raise a warband to join the Viking raider."
396727 "Select the Wonder to train units."
396728 "Bjorn has no time to waste! He must reach Corsica to the south before Hasteinn carries away all the island's riches!"
396729 "By destroying buildings, the Viking raiders will pillage enough gold to enlarge and improve their warbands. Monasteries provide the most gold."
396730 "But Vikings cannot eat gold! Bjorn must make sure his Villagers and Fishing Ships collect resources. With enough Food and Gold, he will be able to advance in Ages at the Town Center."
396731 "Each Age unlocks new technologies, more Villagers, and access to improved warbands with new units. For example, in the Castle Age, Bjorn can train Huskarls."
396732 "The world is yours, Bjorn, son of Ragnar. Yours to raid, pillage, and conquer!"
396733 "+ (<Wonders>/3) Destroy three Wonders in Rome, Cordoba, Tunis, Paris, or Ragusa."
396734 "+ Destroy <Wonders>/3 Wonders."
396735 "+ Have <!Gold Storage>/5000 gold."
396736 "Free Play: Declare Victory at the Town Center to end the scenario."
396737 "+ (<Heroes>/4) Find the heroes Hvitserk, Haraldr, Hasteinn, and Rollo."
396738 "+ Find the <Heroes>/4 Norse Heroes."
396739 "You have begun free play. When finished, Declare Victory at the Town Center via special technology to end the scenario."
396740 "- Find and bring <Princesses>/5 princesses to the Wonder."
396741 "- Explore for Secondary Objectives."
396742 "- Find and bring a Relic Cart to the Wonder."
396743 "- Kill <Heroes Killed>/6 enemy Heroes."
396744 "A Hero was wounded but has reappeared at the Wonder!"
396745 "A princess was ransomed for a hefty sum of gold!"
396746 "The great Viking hero Rollo might be nearby. He was last seen raiding the Franks and Moors from a hideout in the Pyrenees Mountains."
396747 "Hvitserk once ventured into the lands of the Rus, where he fought among the Slavs and horse peoples. He is somewhere in these eastern lands."
396748 "Haraldr, inspired by love of Gyda to rule Norway, raided this coast, but was captured by the Moors. His prison is nearby."
396749 "Princesses"
396750 "Villagers and a Fishing Ship have arrived."
396751 "An ancient relic is hidden in an oasis in the southern desert. Find it and bring it to the Wonder to melt it down to its gold!"
396752 "The relic was melted down for its riches!"
396753 "Just as the Norse have heroes, so do the peoples of this Tideless Sea. Each faction has a warlord who can be killed to enhance Bjorn's legend!"
396754 "Victory"
396755 "Declare Victory"
396756 "Can now train Villagers at the Town Center. All Unique Units upgraded to Elite."
396757 "Basilica of Ragusa"

// Ironside (859)

398881 "In the year 859 CE, Bjorn, son of Ragnar, crossed into the Tideless Sea."
398882 "He raided Muslim Spain before wintering on the southern coast of the Frankish land. There, he waited for the onset of spring and the start of the raiding season."
398883 "A force like no other was about to descend on the shores and coastal cities of the Mediterranean."
398884 "The Vikings had come."
398891 "Bjorn's daring raid into the Mediterranean opened a new world to the Norse."
398892 "They would return over the coming decades. In time, their reputation as warriors would make them prized mercenaries. Some Norse would even serve the Byzantine Emperor, forming an elite bodyguard called the Varangians."
398893 "Centuries later, Norsemen known as the Normans would conquer Sicily, creating a brief kingdom that blended Norman, Greek, Italian, and Islamic customs."
398894 "But this was far in the future when Bjorn sailed home after his raid."
398895 "Though many lost warriors feasted in Valhalla, those that returned to the Norse Lands were so laden with riches that they never had to raid again."

//
// Finehair (870)
//

396801 "Norse"
396802 "Southern Jarls"
396803 "Hordaland"
396804 "Western Sea Kings"
396805 "Saami Tribes"
396806 "Danes"
396807 "West-men"
396808 "1. You begin with a population limit of 20 that increases up to a maximum of 75 by researching Unique Technologies at Harald's Hall. You do not need Houses.\n\n2. As well as providing population, Unique Technologies unlock new units and technologies, and provide additional Villagers.\n\n3. Raise pigs at Mills and use Fish Traps when local fish have been exhausted.\n\n4. Longboats have been modified with shorter range. This range can be improved at the Blacksmith.\n\n5. Raids are dangerous, especially when Harald has few men. Be prepared to run away when overmatched. It is better to live to raid another day.\n\n6. Raiding the Danes, Hordaland, and the West-men provides more gold, but their lands are better defended.\n\n7. Harald will respawn if wounded but other heroes will not."
396809 "Your scouts report:\n\n- Harald rules Vestfold in southeastern Norway, a kingdom with land access to most regions of the North Lands, though mountains and Saami tribesmen can make land journeys dangerous. Sea voyages are quicker and, usually, safer.\n\n- The Southern Jarls (Green) control Gautland to the southeast. They have few ships so should be an early target for Harald's raids. In time, their warriors will be equipped with the finest armor. Because they are so far from a source of Frankish steel, however, their weapons will remain lacking.\n\n- The Western Sea Kings (Cyan) rule the coast of Norway and the western isles across the sea. Their longboats are powerful while their Berserks are ferocious warriors who deal much damage. Their relative nakedness makes their bodies vulnerable and poorly armored.\n\n- Hordaland (Yellow), seat of the powerful King Eirik, is a well-fortified kingdom defended by mighty Huskarls. Hordaland's gates, Towers, and Castle will require many men to storm without siege weapons.\n\n- The Danes (Grey) rule Jutland to the south. Defeating them will not win Norway, but plundering their lands will be profitable. They are also well-defended.\n\n- Not all Norse are hostile to Harald. The sacred site of Uppsala lies to the east, north of the marshlands of the Fyris Wolds. Travelling there is not easy and requires a ship to cross the Vanern Lake. Also, a Viking named Rurik has established a kingdom further east. A visit to him may be fruitful.\n\n- Finally, the West-men inhabit the western land called Scotland, where they hoard gold in temples to the White Christ. Raids against them -- and their Monasteries -- would bring much fortune, but their highland warriors are equals to the Norse in battle."
396810 "Spurred by Gyda's challenge, Harald vows to conquer Norway. But he must first gather his supporters."
396811 "Research Perfusion at Harald's Hall (Large Hut)."
396812 "+ Research Perfusion at Harald's Hall (Large Hut)."
396813 "+ Unite Norway by defeating the Southern Jarls, Western Sea Kings, and Hordaland."
396814 "+ Research <Feast Count>/5 Unique Technologies."
396815 "- Destroy Saami settlements."
396816 "- Kill Ornlu, King of the Wolves."
396817 "- Find Hrolf Kraki's gold in the Fyris Wolds."
396818 "- Find a Priest."
396819 "- Raid Scotland."
396820 "- Sail northwest to find a new land."
396821 "- Bring Harald to Uppsala with a Villager."
396822 "- Bring warriors to the east."
396823 "- Sink Solve Klofe's Longboat."
396824 "Free Play: Declare Victory at Harald's Hall."
396825 "+ Declare Victory at Harald's Hall."
396826 "At a great feast, Harald swore that he would not cut his hair until he ruled all of Norway."
396827 "A fire had been lit in him, the same that inspires great men to great deeds and fills the sagas of heroes."
396828 "Harald vowed to fulfill Gyda's challenge."
396829 "Great warriors will be recruited here once Harald's fame has increased. For now, Harald can only raise Spearmen and Norse Warriors."
396830 "Pigs can be raised here but will take time to mature."
396831 "The forges are quiet for now, but as Harald's fame grows, skilled smiths will flock to his banner."
396832 "Harald's land is poor and he has few thralls to gather resources. He will need to send his warbands on raids."
396833 "Destroy enemy buildings for gold. Conquer and colonize other small kingdoms for resources."
396834 "Research Unique Technologies to increase your population limit and unlock units and technologies."
396835 "Can now train Berserks at the Barracks and Longboats at the Docks. Feudal Age technologies now available."
396836 "Can now train Huskarls at the Barracks and Throwing Axemen at the Archery Range. A new hero also arrives."
396837 "Can now build a Stables and train Scout Cavalry and Tarkans. Castle Age technologies now available."
396838 "Imperial Age technologies now available. A new hero also arrives."
396839 "All units upgraded to Elite."
396840 "The sun-stained and decaying heads of Norse settlers give warning that the north is the domain of the Saami tribes, witches and warriors of the Opplands and Finnmark."
396841 "The Saami do not have much to take in a raid, but driving them from the Opplands would open the northern forests to Norse hunters... and enrich Harald's kingdom."
396842 "Harald drove the Saami from the Opplands, opening the forests to hunters and fur trappers. Harald will now receive regular shipments of dried meat."
396843 "The fearsome Ornlu, King of the Wolves, is said to reside in these mountains."
396844 "The Fyris Wolds, the marshy plain south of Uppsala, is said to be where Hrolf Kraki spread gold as he fled from the Swedish king. Finding and mining this gold will bring Harald much wealth."
396845 "Harald found the gold of Hrolf Kraki. By sending his thralls to mine it, he would fill his coffers."
396846 "A strange man, gaunt and weather-beaten, claims to have found Valhalla at the edge of the northwestern sea."
396847 "His story is likely foolish, but it would not hurt Harald's fame to send a few men chasing after this Valhalla."
396848 "Harald's men found a land of ice and fire at the edge of the world. It was not Valhalla, but it could still be useful."
396849 "Priests sometimes leave their tribes to worship the gods in the wilds. Finding one of these men to serve Harald would bring him much fame."
396850 "Thorolf, son of the famed berserker Kveldulf, wishes to join Harald in return for help against a nearby hold. Thorolf waits nearby with his men."
396851 "Great treasures await across the western sea in the lands of Scotland. There, followers of the White Christ hoard gold in their temples."
396852 "Scotland is rich compared with the Norwegian coast. Harald's warriors demand more raids!"
396853 "Since the beginning, those who wished to be kings travelled to Uppsala to receive the blessings of the god Freyr. The most devoted would offer blood and flesh to the god."
396854 "Harald should go... and bring a sacrifice."
396855 "The spilt blood of the sacrifice pleases Freyr. Odin, the All-Father, sends one of his ravens to Harald. The bird will show Harald lands that he has not yet crossed."
396856 "Odin also blesses Harald himself, strengthening his body against enemy blows."
396857 "The Temple at Uppsala watches over a sacred grove where a massive tree stands, nine bodies hanging from its branches."
396858 "Stories come from the east, where a man named Rurik has made himself a king. Some of Harald's warriors wish to adventure with Rurik in the eastern settlement called Holmgard."
396859 "The journey is long but warriors will learn the ways of fighting in these foreign lands."
396860 "Fearsome Varangians have battled the Slavs and eastern horse lords with Rurik. They will join Harald for a price at the Krepost."
396861 "In the burning fires of a raid, Harald's men find a Viking called Ketill Flatnose, son of Bjorn Grimsson. He pledges himself and his warband to Harald."
396862 "Ketill Flatnose warns Harald that the Sea Kings of Orkney and Shetland are gathering a raiding fleet in their western isles. He asks to lead a raid against them."
396863 "A savage Sea King called Solve Klofe raids the holds of jarls loyal to Harald. Harald swears to send him and his longboat to the bottom of the sea."
396864 "The daughters of the sea giant take Solve Klofe to his watery grave."
396865 "Harald's men find an elkhound in the forests near Vestfold. Harald takes in the hound and names him Fenrir."
396866 "The elkhound Fenrir is too timid to board a boat. He'd probably make a better watchdog and hunting hound anyway."
396867 "These waters are crossable, but the Danes defend further south. Harald would need longboats to venture closer to Danish waters."
396868 "Raiding Denmark would make Harald and his warriors rich. "
396869 "The Danish hold is a ruin and Harald has shown that Northmen can triumph over the Danes!"
396870 "Three Lost Vikings are found on an island. They tell strange stories about a green man who lives in the stars."
396871 "Despite the defeat of King Eirik, Gyda's father, the daughter of the Hordaland king remains unshakeable. Harald still needs to unite all of Norway and hold sufficient feasts to win her."
396872 "The jarls have been crushed, the sea kings laid to waste, and Hordaland itself burnt to ruin. Cheers resound from the hall of Harald Tanglehair as he holds a triumphal feast."
396873 "All of Norway is now his... and so is Gyda, the spirited woman whose challenge made it all possible."
396874 "But would there be other lands to raid and conquer?"
396875 "You have begun free play. When finished, Declare Victory at Harald's Hall."
396876 "Declare Victory"
396877 "Longboats are swift Viking ships, but have poor attack range, making them unsuitable for fighting land units. They have a wide sight radius, however, making them good scouts."
396878 "Research archer technologies at the Blacksmith to increase the attack range of Longboats."
396879 "Saami Warrior"
396880 "Thorolf Kveldulfsson"
396881 "Ketill Flatnose"
396882 "Solve Klofe"
396883 "Temple at Uppsala"
396884 "Erik the Swift"
396885 "Baleog the Fierce"
396886 "Olaf the Stout"
396887 "Harald's Hall"
396888 "Saami Hut"
396889 "Guthrom"
396890 "Gyda Eiriksdottir"
396891 "Harald"
396892 "Breed <b>Pig<b> (<cost>)\nA fatty omnivore that can be slaughtered for meat.\n<hp>"
396893 "Harald Tanglehair"
396894 "Haakon Grjotgardsson"
396895 "Rognvald Eysteinsson"
396896 "Fenrir"
396897 "Harald Finehair"

// Finehair (870)

398901 "A Valkyrie rested by an old oak and saw a Raven sitting on a spindly branch. The Raven's beak was red with gore. Flesh hung from its claws."
398902 "'From where have you come, Raven?' the Valkyrie asked. 'The stench of dead flesh is on your blood-soaked feathers.'"
398903 "The grey Raven gloated and wiped its bill. 'I have followed Harald.'"
398904 "Before the Valkyrie met the Raven, young Harald ruled a small kingdom in Norway. His wealth was measured in pigs and fishing boats, but he sought the hand of a king's daughter."
398905 "He sent his uncle, Guthrom, to deliver a marriage proposal to Gyda, daughter of King Eirik."
398906 "When Guthrom spoke, Gyda held her head high and curled her lip. Her words pierced like an ashen spear."
398907 "'Who is this little king?' she asked. 'There is a little king here and a little king there, hundreds across Norway! Is no one brave enough to make Norway his own?'"
398908 "'Give this message to your Harald: I will not be his wife unless he puts all of Norway under him for my sake.'"
398909 "Old Guthrom returned to Harald and told him Gyda's message. The young man smiled as though he had remembered something he had nearly forgotten."
398910 "'Is that so, Guthrom?' His smile widened. 'King of all Norway! Why did we not think of that?'"
398911 "Harald touched his hair and swore upon it: 'I will not cut my hair until all of Norway is mine -- and Gyda is my wife. Prepare a feast, Guthrom. We will host the finest warriors for I will need them in the coming days.'"
398921 "Deep ships with reddened shields, gaping dragon masts and graven prow-boards, men with western spears and Frankish swords…"
398922 "How the Berserks bellowed and the wolf-skins howled and thundered shields when Harald -- King of Norway -- sheared his hair!"
398923 "The fires burned throughout Norway all through the night -- not from the war and raiding, for those had come to an end, but from the living burning the dead in pyres."
398924 "On the seventh day, Harald took the high seat. Beside him was Gyda, the woman whose spirited challenge lit a fire in the king."
398925 "Harald Finehair was King of Norway."

//
// Robert (921)
//

396901 "King of the Franks"
396902 "Normandy"
396903 "Flanders"
396904 "Burgundy"
396905 "Aquitaine"
396906 "Gascony"
396907 "Norse"
396908 "1. You have a population limit of 200 and cannot train gunpowder units.\n\n2. Dukes who fully support you will fight your enemies. Direct their armies with Flares. Also, you can direct them individually by changing your Chat settings before using your Flare.\n\n3. It is not necessary to gain support of all dukes or to defeat all dukes. For example, you can win by defeating two dukes and gaining the support of the remaining three.\n\n4. Tribute is most impactful early. As you and the other dukes become richer, it will take more resources to win their support. Note, they will accept Food, Wood, Gold, and Stone.\n\n5. Before fighting a duke, check for their alliances on the Objectives screen. Alliances will vary on each playthrough.\n\n6. Divide and conquer. Gaining a duke's full support will provide bonuses and break any alliances they currently have. By gaining the right duke's support, you can even break up potentially powerful coalitions against you.\n\n7. If you are at war with all dukes, the King of the Franks will become hostile. Likewise, if you attack the king, all the dukes who do not fully support you will unite against you. Even if you intend to win through conquest, choose the timing of your wars and your allies wisely.\n\n8. On Moderate and Hard difficulties, you have a limited amount of time before the king discovers your plot. When time runs out, the king and all dukes who do not support you become hostile.\n\n9. You can only construct Castles in your own territory, enemy territory, or in the territory of dukes who fully support you."
396909 "Your scouts report:\n\n- Robert of Neustria is a count in central Francia. This means he is surrounded on all sides by potential allies or enemies.\n\n- The King of the Franks (Blue), a descendant of Charlemagne, lacks his ancestor's skill and courage. Nonetheless, his domains centered around the riverine city of Paris are well-defended and his armies well-equipped.\n\n- After a recent raid on Paris, the Frankish king gave lands to the Norse: Robert's lands. They have settled north of Robert in a region now called Normandy (Green). The Normans only respect military strength. They fight as infantry and cavalry.\n\n- Flanders (Orange) lies to the north of Robert and Normandy across the Seine River. The Flemish have a long history of fighting the Norse and do not support the king's decision to give them lands. They will support anyone who humbles the Normans. They fight as infantry and cavalry but can also train Flemish Militia.\n\n- Burgundy (Purple) occupies the eastern portions of Francia near the border with Germany. The Duke of Burgundy has a martial character and will support castle builders. The Burgundians fight as cavalry and archers.\n\n- Aquitaine (Cyan), to Robert's south, straddles the wide territory between the Loire and Garrone rivers. The Duke of Aquitaine is famed for his piety, having recently built the Benedictine abbey at Cluney. He will support equally pious rulers. Aquitaine fights with infantry, cavalry, and archers.\n\n- Gascony (Grey) lies south of Aquitaine and is hostile to that duchy. Though the Duke of Gascony is unwilling to fight against Aquitaine, he will throw his support behind anyone who weakens his rival. Alternatively, because his lands are relatively poor, he will doubly appreciate any gifts sent to him. Gascony fights as infantry.\n\n- Finally, the Norse (Red) recently conquered Brittany. The other dukes bribe the Norse raiders to keep them away, but Robert is unwilling to pay tribute after the Norse killed his father. The Norse raid with infantry and Longboats."
396910 "Robert of Neustria"
396911 "King Charles III"
396912 "Rollo of Normandy"
396913 "Arnulf of Flanders"
396914 "Rudolph of Burgundy"
396915 "Guillaume of Aquitaine"
396916 "García of Gascony"
396917 "Count of Paris"
396918 "Duke of Orleans"
396919 "Duke of the Franks"
396920 "Ducal Support"
396921 "Normandy: <Normandy Support>"
396922 "Flanders: <Flanders Support>"
396923 "Burgundy: <Burgundy Support>"
396924 "Aquitaine: <Aquitaine Support>"
396925 "Gascony: <Gascony Support>"
396926 "+ The Frankish Wonder must not be destroyed."
396927 "Choose one of the following:"
396928 "+ Attain 100 support from all remaining dukes."
396929 "+ Defeat all dukes and control Paris (Monument)."
396930 "- Change diplomacy to attack dukes."
396931 "- See Objectives (F10) for instructions from the king."
396932 "Attain Count of Paris rank:"
396933 "- Kill <Killed P8, 1>/100 Norse units."
396934 "- Build a Castle in Paris (flagged area)."
396935 "- Capture <Relics Captured>/3 Relics."
396936 "Attain Duke of Orleans rank:"
396937 "- Have <Military Population>/100 military units."
396938 "- Capture <Relics Captured>/6 Relics."
396939 "Attain Duke of the Franks rank:"
396940 "- Own <Castle Count>/5 Castles."
396941 "- Defeat the Norse."
396942 "Increase ducal support by tributing resources or through certain actions:\nNormandy: military population\nFlanders: killing Normandy's units and Norse units\nBurgundy: owning Castles\nAquitaine: holding Relics\nGascony: razing Aquitaine buildings or tributing"
396943 "Normandy: military population"
396944 "Flanders: killing Normandy's units and Norse units"
396945 "Burgundy: owning Castles"
396946 "Aquitaine: holding Relics"
396947 "Gascony: razing Aquitaine buildings or tributing"
396948 "Alliances"
396949 "Normandy and Burgundy are allies."
396950 "Normandy and Aquitaine are allies."
396951 "Normandy and Gascony are allies."
396952 "Flanders and Burgundy are allies."
396953 "Flanders and Aquitaine are allies."
396954 "Flanders and Gascony are allies."
396955 "Burgundy and Aquitaine are allies."
396956 "Burgundy and Gascony are allies."
396957 "Robert, your father served the king and it won him only a Viking's killing blow. Your brother was wiser: he overthrew the king and took the crown for himself. Since his death, however, another weakling rules."
396958 "But replacing the king will not be easy. You must choose to win the support of the dukes through bribes and any other means, or defeat them entirely and seize Paris for yourself."
396959 "Change diplomacy to attack rivals or maintain your alliances and build your support."
396960 "A marriage has been announced between two ducal houses."
396961 "Normandy and Burgundy have formed an alliance. Attacking one means war with the other. Alliances can be viewed in Objectives."
396962 "Normandy and Aquitaine have formed an alliance. Attacking one means war with the other. Alliances can be viewed in Objectives."
396963 "Normandy and Gascony have formed an alliance. Attacking one means war with the other. Alliances can be viewed in Objectives."
396964 "Flanders and Burgundy have formed an alliance. Attacking one means war with the other. Alliances can be viewed in Objectives."
396965 "Flanders and Aquitaine have formed an alliance. Attacking one means war with the other. Alliances can be viewed in Objectives."
396966 "Flanders and Gascony have formed an alliance. Attacking one means war with the other. Alliances can be viewed in Objectives."
396967 "Burgundy and Aquitaine have formed an alliance. Attacking one means war with the other. Alliances can be viewed in Objectives."
396968 "Burgundy and Gascony have formed an alliance. Attacking one means war with the other. Alliances can be viewed in Objectives."
396969 "A duke has pledged his unwavering support to your claims and has broken all of his previous alliances. He will fight with you against your enemies."
396970 "Normandy supports your claim. Serjeants appear at your Town Centers. Use Flares to direct Normandy's armies."
396971 "Flanders supports your claim. Trade units are cheaper. Use Flares to direct Flanders' armies."
396972 "Burgundy supports your claim. Your Farms will now generate Gold as well as Food. Use Flares to direct Burgundy's armies."
396973 "Aquitaine supports your claim. Military units cost less Food. Use Flares to direct Aquitaine's armies."
396974 "Gascony supports your claim. You gain an additional 10 population. Use Flares to direct Gascony's armies."
396975 "By attacking all the dukes, you are considered by the king to be in rebellion. There is no going back. You must defeat all dukes and march on Paris."
396976 "By attacking the king, the dukes who do not support you see you as a threat. There is no going back. You must defeat all enemy dukes and march on Paris."
396977 "For your service, the king has made you Count of Paris. This is only the beginning of your ambitions."
396978 "Castles are improved (Stronghold and Crenellations researched)."
396979 "For your continued service, the king has made you Duke of Orleans."
396980 "Cavalry are improved (Hauberk and Stirrups researched)."
396981 "For your exemplary service, the king has made you Duke of the Franks. There is only one title greater in all of Francia and it will soon be yours."
396982 "Cavalry gain additional attack."
396983 "You cannot attack a duke who supports your claim."
396984 "You can only construct Castles in your own territory, enemy territory, or in the territory of dukes who fully support you."
396985 "Experience has made Robert more skilled in battle."
396986 "Your enemy chose their friends well. Another duke joins the war."
396987 "By flattery and cunning, you have united the squabbling dukes to a single purpose: to elect you king. This is a triumph of politics, but even now, there are whispers that you relied too much on others to become king."
396988 "The remaining dukes, those not already defeated by you, have agreed to support you for the kingship. The heir to Charlemagne is deposed and you are made king through a combination of political will and military might."
396989 "The empire of Charlemagne was won through blood and iron. Your empire will be no different. With Charlemagne's heir dead and all of your rivals languishing in your dungeon, your rule is uncontested."
396990 "There is a new set of objectives from the king."
396991 "Remember, you can tribute resources to other dukes to win their support. Once they fully support you, you will receive benefits such as unique technologies. They will also fight your enemies."
396992 "Consider the alliances of rival dukes before fighting them. You can even break an alliance by gaining the support of one side."
396993 "Normandy: enemy"
